date,year,quarter,month,month_name,day,day_of_week,day_of_week_num,is_weekend,year_month
2023-01-23,2023,Q1,1,January,23,Monday,1,0,2023-01
2023-01-24,2023,Q1,1,January,24,Tuesday,2,0,2023-01
2023-01-25,2023,Q1,1,January,25,Wednesday,3,0,2023-01
2023-01-26,2023,Q1,1,January,26,Thursday,4,0,2023-01
2023-01-27,2023,Q1,1,January,27,Friday,5,0,2023-01
2023-01-28,2023,Q1,1,January,28,Saturday,6,1,2023-01
2023-01-29,2023,Q1,1,January,29,Sunday,7,1,2023-01
2023-01-30,2023,Q1,1,January,30,Monday,1,0,2023-01
2023-01-31,2023,Q1,1,January,31,Tuesday,2,0,2023-01
2023-02-01,2023,Q1,2,February,1,Wednesday,3,0,2023-02
2023-02-02,2023,Q1,2,February,2,Thursday,4,0,2023-02
2023-02-03,2023,Q1,2,February,3,Friday,5,0,2023-02
2023-02-04,2023,Q1,2,February,4,Saturday,6,1,2023-02
2023-02-05,2023,Q1,2,February,5,Sunday,7,1,2023-02
2023-02-06,2023,Q1,2,February,6,Monday,1,0,2023-02
2023-02-07,2023,Q1,2,February,7,Tuesday,2,0,2023-02
2023-02-08,2023,Q1,2,February,8,Wednesday,3,0,2023-02
2023-02-09,2023,Q1,2,February,9,Thursday,4,0,2023-02
